[2022-12-29T19:35:52.782388+07:00] FebriAnandaLubis\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-12-29T19:35:52.786501+07:00] FebriAnandaLubis\Belajar\PHP\MVC\HandlerTest.INFO: Halo febri ananda lubis [] []
[2022-12-29T19:35:52.786553+07:00] FebriAnandaLubis\Belajar\PHP\MVC\HandlerTest.INFO: Informasi PHP Logging [] []
[2022-12-29T19:50:56.629625+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.DEBUG: This is debug [] []
[2022-12-29T19:50:56.630781+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.INFO: This is Info [] []
[2022-12-29T19:50:56.630826+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.NOTICE: This is notice [] []
[2022-12-29T19:50:56.631237+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.WARNING: This is warning [] []
[2022-12-29T19:50:56.631279+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.ERROR: This is error [] []
[2022-12-29T19:50:56.631564+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.CRITICAL: This is critical [] []
[2022-12-29T19:50:56.631621+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.ALERT: This is alert [] []
[2022-12-29T19:50:56.631669+07:00] FebriAnandaLubis\Belajar\PHP\MVC\LevelTest.EMERGENCY: This is emergency [] []
[2022-12-29T20:25:07.828925+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941337+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941510+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941632+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-3 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941749+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-4 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941864+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-5 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.941977+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-6 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942071+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-7 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942162+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-8 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942254+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-9 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942343+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-10 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942435+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-11 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942526+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-12 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942616+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-13 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942705+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-14 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942796+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-15 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942886+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-16 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.942978+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-17 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943153+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-18 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943251+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-19 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943341+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-20 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943432+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-21 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943522+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-22 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943613+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-23 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943703+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-24 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943793+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-25 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943883+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-26 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
[2022-12-29T20:25:07.943991+07:00] FebriAnandaLubis\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-27 [] {"hostname":"DESKTOP-GJNJ23E","memory_usage":"4 MB","git":[]}
